osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/714483780,Great Houndbeare Farm,E_GYAR-1,GYAR-1,E,auto,
way/718494061,Newton Downs Farm,E_NEWTB-1,NEWTB-1,E,auto,
way/722877711,Solar Plant,T_BLPFS-1,BLPFS-1,T,auto,
way/722877711,Solar Plant,T_CLVHS-1,CLVHS-1,T,auto,
way/722877711,Solar Plant,T_CLVHS-2,CLVHS-2,T,auto,
way/722877711,Solar Plant,T_LARKS-1,LARKS-1,T,auto,
way/722877711,Solar Plant,T_TYLNS-1,TYLNS-1,T,auto,
way/723603986,Sutton Mawr Farm,T_SUTB-1,SUTB-1,T,auto,
way/723603986,Sutton Mawr Farm,T_SUTBS-1,SUTBS-1,T,auto,
way/725688488,Barton Close Farm,E_BTNHL-1,BTNHL-1,E,auto,
way/728888402,Middle Treworder Solar Farm,T_MIDMW-1,MIDMW-1,T,auto,
way/729739568,Baglan Bay Solar Farm - Phase 1,T_BAGED-1,BAGED-1,T,auto,
way/738926636,Pen y Cymoedd Energy Storage,T_PNYCB-1,PNYCB-1,T,auto,
way/745132276,North Tenement,V__GWELS001,AG-WSP04G,V,auto,
way/745132276,North Tenement,2__PSTAT001,CAIRW-2,S,auto,
way/745132276,North Tenement,T_CLDNW-1,CLDNW-1,T,auto,
way/745132276,North Tenement,2__PSTAT002,MDHLW-1,S,auto,
way/745132276,North Tenement,T_NOKYW-1,NOKYW-1,T,auto,
way/745132276,North Tenement,T_NOKYW-2,NOKYW-2,T,auto,
way/745132276,North Tenement,2__PIMPO000,NSC-ATL01,G,auto,
way/745132276,North Tenement,2__PEDFE000,NSC-EDF01,G,auto,
way/745132276,North Tenement,2__PHYDE000,NSC-SSE01,G,auto,
way/745132276,North Tenement,2__PSOUT000,NSC-STH01,G,auto,
way/745132276,North Tenement,2__PSWAE000,NSC-SWA01,G,auto,
way/745132276,North Tenement,E_NTAWB-1,NTAWB-1,E,auto,
way/745132276,North Tenement,2__GEDFE000,NWP-EDF01,G,auto,
way/745132276,North Tenement,T_STRNW-1,STRNW-1,T,auto,
