osm_id,name,operator,capacity_mw,source_bucket,latitude,longitude
relation/9461356,Cadland Solar Park,Cadland Estate,8.4,solar,50.8072946,-1.355067309981402
way/295090759,Caeremlyn,,18.0,solar,51.82869515,-4.638026914697882
way/746146647,Caergarw Farm,Suncredit UK (Sunventures 7),3.8,solar,51.5376939,-3.7161536875406282
way/724282776,Cairnhill Farm Solar Farm,,2.4,solar,57.5609879,-2.372177075549378
way/724277605,Cairnmore,,5.0,solar,57.30748675,-2.823037460559175
way/1200813225,Caldale Battery Storage,,,other,59.1668267,-2.8032805691861746
way/729739559,Caldecote Manor Farm,Sustain Energy Solutions,5.0,solar,52.2025532,-0.21911417849162132
way/821985754,Callagheen Windfarm,Callagheen Wind Farm Ltd (Scottish Power Renewables),16.9,wind,54.4427396,-8.011234230621064
way/550725980,Callington Solar Farm,Inazin (Low Carbon Solar),6.4,solar,50.5094335,-4.32917854414642
way/231769327,Calvert Landfill Gas Plant,FCC Environment,11.2,biomass,51.9000749,-0.9934098783406748
way/538582338,Canada Farm Solar Park,British Solar Renewables,8.25,solar,50.8439149,-2.2078554263254113
way/956264045,Cannington Cold Stores Anaerobic Digestion Plant,Cannington Bioenergy,3.3,biomass,51.1450321,-3.0985720875019296
way/730017661,Canopus Farm,Countryside Renewables,5.0,solar,53.01002275,-0.05423237422996244
relation/5488556,Cantelupe Solar Farm,BELECTRIC,5.0,solar,52.1630995,0.06307658367329276
way/551286865,Canworthy Solar Farm,Equitix,43.0,solar,50.71130955,-4.500468649362606
way/687453295,Capel Grange Solar Park,West Coast Energy,6.6,solar,51.179453,0.35888625944035857
way/956252565,Capel Landfill Gas Plant,Hanson Brick Ltd,1.0,biomass,51.1327722,-0.32395887424242453
way/681500454,Capeland Farm,juwi Renewable Energies,8.3,solar,51.1347011,-3.9108371352014286
way/955815592,Cardiff Waste Water Treatment Biogas Plant,Dwr Cymru Welsh Water,5.5,biomass,51.4734658,-3.1370046226849606
way/253027599,Carey Solar Farm,,,solar,56.33863755,-3.3450418387030387
way/729739560,Carlam Hill Farm,Renesola,10.0,solar,53.8088557,-0.31760141091322347
relation/7873445,Carloggas Farm Solar Park,,8.3,solar,50.35112055,-4.873528057697628
way/474390249,Carlton Farm,,5.0,solar,52.8030531,1.393927665215553
way/1274928964,Carn Hill Wind Farm,,,wind,54.72338645,-5.922648517245783
way/1442564905,Carn Nicholas Farm,Innova Renewables Limited,10.0,solar,51.6302657,-3.9161622752561422
way/688333765,Carnemough Farm Solar Park,,7.0,solar,50.33136275,-4.928388343225304
way/835301549,Carnoch Hydro,Npower Renewables,1.4,hydro,56.68614215,-5.5069974
way/766094206,Carousel Dairy Anaerobic Digestion Plant,Biogen (formerly Tamar Energy),1.5,biomass,51.21961835,-1.1289752706296923
way/380244342,Carsfad Hydroelectric Power Station,,12.0,hydro,55.1435865,-4.189230194247248
way/746180281,"Carver Hay, moss lane",Navitas Project,2.5,solar,53.7033332,-2.7777806060331254
way/224384158,Cashlie Power Station,SSE,11.0,hydro,56.54744115,-4.430065326852594
way/295029801,Cassley Power Station,Scottish & Southern Energy,10.0,hydro,58.1686576,-4.727931138687305
way/668068196,Castle Combe Solar Park,Lightsource BP,15.4,solar,51.4887929,-2.2125357643024968
way/178198218,Castle Drogo Hydro Electric Plant,,,hydro,50.69448145,-3.806428924431818
way/668060179,Castle Eaton Farm,Hive Energy,17.8,solar,51.6463582,-1.789337456576531
way/1132369947,Castlereagh Battery Storage,Energia,50.0,other,54.561436,-5.86805013580366
way/724803563,Caswell Farm Solar Park,Juwi Renewable Energies,6.7,solar,50.8835292,-2.602778226801313
