bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,productionOrConsumptionFlag,generationCapacity,leadPartyName,gspGroupName,interconnectorId,category,mapped
T_GYMR-28,GYMRO-28,GyM OSPW 28,WIND,T,P,148.000,Gwynt y Mor Offshore Wind Farm,,,displayable,False
T_HADHW-1,HADHW-1,Hadyard Hill Wind Farm,WIND,T,P,130.000,SSE Renewables Wind Farms,,,displayable,False
T_HAHAW-1,HAHAW-1,Hagshaw Repower 1,WIND,T,P,30.258,HAGSHAW HILL REPOWERING LTD,,,displayable,False
T_HEYM11,HEYM11,Heysham 1 Generator 1,NUCLEAR,T,P,610.000,EDF Energy Nuclear Generation,,,displayable,False
T_HEYM12,HEYM12,Heysham 1 Generator 2,NUCLEAR,T,P,585.000,EDF Energy Nuclear Generation,,,displayable,False
T_HEYM27,HEYM27,Heysham 2 Generator 7,NUCLEAR,T,P,660.000,EDF Energy Nuclear Generation,,,displayable,False
T_HEYM28,HEYM28,Heysham 2 Generator 8,NUCLEAR,T,P,676.152,EDF Energy Nuclear Generation,,,displayable,False
E_HLTWW-1,HLTWW-1,Hill of Towie,WIND,E,P,48.000,ScottishPower Energy Retail,North Scotland,,displayable,False
E_HRHLW-1,HRHLW-1,Hare Hill Extension Windfarm,WIND,E,P,30.000,SP Renewables (UK) Limited,South Scotland,,displayable,False
T_JGPR-1,JGPR-1,High Marnham JGPEARS,BIOMASS,T,P,13.000,JG Pears Power Ltd,,,displayable,False
T_KILBW-1,KILBW-1,KILBW,WIND,T,P,68.510,Kilbraur Wind Energy Ltd,,,displayable,False
T_KTHLW-1,KTHLW-1,KEITH HILL WINDFARM,WIND,T,P,4.540,Statkraft Markets Gmbh,,,displayable,False
T_MIDMW-1,MIDMW-1,MIDDLE MUIR WIND FARM,WIND,T,P,51.000,OnPath Energy Limited,,,displayable,False
T_MILWW-1,MILWW-1,MILWW,WIND,T,P,65.000,Millennium Wind Energy Ltd,,,displayable,False
T_MKHLW-1,MKHLW-1,Mark Hill,WIND,T,P,53.000,SP Renewables (UK) Limited,,,displayable,False
T_NOKYW-1,NOKYW-1,North Kyle Wind Farm-1,WIND,T,P,106.000,North Kyle Wind farm Ltd,,,displayable,False
T_NOKYW-2,NOKYW-2,North Kyle Wind Farm-2,WIND,T,P,106.000,North Kyle Wind farm Ltd,,,displayable,False
T_PNYCW-1,PNYCW-1,PNYCW-1 Export,WIND,T,P,228.000,Pen y Cymoedd Wind Farm LTD,,,displayable,False
T_RREW-1,RREW-1,T_RREW-1,WIND,T,P,114.293,RWE Renewables UK Robin Rigg,,,displayable,False
T_RRWW-1,RRWW-1,T_RRWW-1,WIND,T,P,90.838,RWE Renewables UK Robin Rigg,,,displayable,False
T_SAKNW-1,SAKNW-1,Sandy Knowe Wind Farm,WIND,T,P,87.000,Sandy Knowe Wind Farm Ltd,,,displayable,False
T_SANQW-1,SANQW-1,SANQUHAR,WIND,T,P,32.080,SANQUHAR CWCL,,,displayable,False
T_SOKYW-1,SOKYW-1,South Kyle Wind Farm,WIND,T,P,426.916,South Kyle Wind Farm Limited,,,displayable,False
T_STRNW-1,STRNW-1,Strathy North Wind Farm 1,WIND,T,P,70.000,Strathy Wind Farm Limited,,,displayable,False
T_SUTB-1,SUTB-1,BMUid for Sutton Bridge Power,CCGT,T,P,850.000,SUTTON BRIDGE POWER GENERATION,,,displayable,False
T_THUPG-1,THUPG-1,T_THUPG-1,OTHER,T,P,180.000,THURROCK POWER LIMITED,,,displayable,False
T_TKNEW-1,TKNEW-1,Triton Knoll OSP East 1,WIND,T,P,412.000,Triton Knoll Offshore Wind,,,displayable,False
T_TSREP-1,TSREP-1,MGT TEESIDE TEESREP MAIN,BIOMASS,T,P,285.000,MGT TEESSIDE LTD.,,,displayable,False
T_USKMB-2,USKMB-2,UES Asset 1 limited BMU1 BESS1,OTHER,T,P,57.500,UES Asset 1 Limited,,,displayable,False
T_USKMB-3,USKMB-3,UES Asset 1 limited BMU1 BESS2,OTHER,T,P,57.500,UES Asset 1 Limited,,,displayable,False
T_WDRGW-1,WDRGW-1,Windy Rig Wind Farm,WIND,T,P,42.800,Windy Rig Wind Farm Limited,,,displayable,False
T_WHIHW-1,WHIHW-1,Whiteside Hill WF,WIND,T,P,27.520,Whiteside Hill,,,displayable,False
