bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,side,volume_mwh,abs_volume_mwh,action_count,settlement_date,settlement_period,price_gbp_mwh,bid_offer_pair_id,first_seen_at,last_seen_at,active_latest
49,,,,,,,bid,-0.023,0.023,3,2026-06-10,41,-36.09,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
5,,,,,,,bid,-255.0,255.0,7,2026-06-10,3,91.85,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
5,,,,,,,offer,269.0,269.0,8,2026-06-10,37,198.99,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
50,,,,,,,bid,-0.004,0.004,2,2026-06-10,41,-37.5,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
50,,,,,,,offer,12.5,12.5,1,2026-06-10,43,203.03,,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
51,,,,,,,bid,-0.002,0.002,2,2026-06-10,41,-30.0,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
52,,,,,,,bid,-0.006,0.006,2,2026-06-10,41,-35.0,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
53,,,,,,,bid,-0.012,0.012,2,2026-06-10,41,-34.17,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
54,,,,,,,offer,22.5,22.5,2,2026-06-10,41,229.67,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
6,,,,,,,bid,-185.5,185.5,6,2026-06-10,4,91.87,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
6,,,,,,,offer,324.5,324.5,8,2026-06-10,37,217.99,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
7,,,,,,,bid,-209.0,209.0,7,2026-06-10,3,93.03,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
7,,,,,,,offer,311.5,311.5,8,2026-06-10,37,210.65,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
8,,,,,,,bid,-215.0,215.0,6,2026-06-10,3,91.8,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
8,,,,,,,offer,253.5,253.5,8,2026-06-10,37,217.53,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
9,,,,,,,bid,-205.5,205.5,7,2026-06-10,3,92.07,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
9,,,,,,,offer,343.5,343.5,8,2026-06-10,37,231.33,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
V__AZENO002,ZEN02A,V__AZENO002,OTHER,V,BESS Holdco 2 Limited,0.000,bid,-0.383,0.383,8,2026-06-10,21,65.37,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__BCEND004,AG-CBS06B,V__BCEND004,,V,Centrica Business Solutions UK,0.000,bid,-6.517,6.517,15,2026-06-10,29,102.05,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__BCEND004,AG-CBS06B,V__BCEND004,,V,Centrica Business Solutions UK,0.000,offer,1.25,1.25,5,2026-06-10,20,121.22,-1; 1,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
V__GDSKC001,AG-DSK01G,V__GDSKC001,,V,Danske Commodities A/S,0.000,bid,-34.963,34.963,60,2026-06-10,21,96.4,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__GDSKC001,AG-DSK01G,V__GDSKC001,,V,Danske Commodities A/S,0.000,offer,7.324,7.324,25,2026-06-10,25,146.37,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__HDSKC001,AG-DSK01H,V__HDSKC001,,V,Danske Commodities A/S,0.000,bid,-2.507,2.507,17,2026-06-10,28,69.38,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__HDSKC001,AG-DSK01H,V__HDSKC001,,V,Danske Commodities A/S,0.000,offer,2.283,2.283,9,2026-06-10,25,146.53,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__HZENO004,AG-ZEN7H,V__HZENO004,,V,BESS Holdco 2 Limited,0.000,bid,-19.117,19.117,77,2026-06-10,20,85.11,-1; -2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__HZENO004,AG-ZEN7H,V__HZENO004,,V,BESS Holdco 2 Limited,0.000,offer,2.492,2.492,9,2026-06-10,32,137.41,-1; -2; 1,2026-06-10T15:26:23Z,2026-06-11T08:38:23Z,True
V__JZENO001,AG-ZEN03J,V__JZENO001,OTHER,V,BESS Holdco 2 Limited,0.000,bid,-7.56,7.56,30,2026-06-10,20,84.23,-1,2026-06-10T16:51:04Z,2026-06-11T08:38:23Z,True
V__JZENO001,AG-ZEN03J,V__JZENO001,OTHER,V,BESS Holdco 2 Limited,0.000,offer,0.001,0.001,1,2026-06-10,38,432.97,-1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
V__LCEND005,AG-CBS05L,V__LCEND005,,V,Centrica Business Solutions UK,0.000,bid,-33.183,33.183,73,2026-06-10,19,98.65,-1; 1,2026-06-10T14:30:02Z,2026-06-11T08:38:23Z,True
V__LCEND005,AG-CBS05L,V__LCEND005,,V,Centrica Business Solutions UK,0.000,offer,34.817,34.817,55,2026-06-10,19,130.33,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__LFLEX001,AG-FLX00L,V__LFLEX001,,V,Flexitricity Limited,3.738,bid,-3.483,3.483,8,2026-06-10,37,88.59,-1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
V__LFLEX001,AG-FLX00L,V__LFLEX001,,V,Flexitricity Limited,3.738,offer,0.042,0.042,2,2026-06-10,29,134.29,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
V__NFLEX001,AG-FLX02N,V__NFLEX001,,V,Flexitricity Limited,0.000,bid,-1.333,1.333,8,2026-06-10,27,79.28,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
