bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,side,volume_mwh,abs_volume_mwh,action_count,settlement_date,settlement_period,price_gbp_mwh,bid_offer_pair_id,first_seen_at,last_seen_at,active_latest
2__HSTAT001,AG-HSTK01,STAT_H2,,S,Statkraft Markets Gmbh,100.000,bid,-24.4,24.4,142,2026-06-10,21,92.18,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HSTAT001,AG-HSTK01,STAT_H2,,S,Statkraft Markets Gmbh,100.000,offer,3.875,3.875,26,2026-06-10,29,129.61,-1; -2; -3; 1; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HSTAT002,AG-HSTK02,STAT_H3,,S,Statkraft Markets Gmbh,52.237,bid,-15.05,15.05,104,2026-06-10,21,87.42,-1; -2; -3; -4; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HSTAT002,AG-HSTK02,STAT_H3,,S,Statkraft Markets Gmbh,52.237,offer,2.575,2.575,16,2026-06-10,27,146.4,-1; -2; -3; 1; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HSTAT007,AG-HSTK07,STAT_H8,,S,Statkraft Markets Gmbh,40.000,bid,-54.458,54.458,183,2026-06-10,20,98.05,-1; -2; -3; -4; -5; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HSTAT007,AG-HSTK07,STAT_H8,,S,Statkraft Markets Gmbh,40.000,offer,14.367,14.367,39,2026-06-10,22,132.14,-1; -2; -3; 1; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__JSTAT002,AG-JSTK02,STAT_J3,,S,Statkraft Markets Gmbh,6.305,bid,-12.467,12.467,132,2026-06-10,20,102.07,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__JSTAT002,AG-JSTK02,STAT_J3,,S,Statkraft Markets Gmbh,6.305,offer,1.067,1.067,17,2026-06-10,25,131.4,-1; -2; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__LANGE002,AG-LLIM02,2__LANGE002,,S,Limejump Energy Limited,50.000,bid,-5.117,5.117,61,2026-06-10,27,96.09,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__LANGE002,AG-LLIM02,2__LANGE002,,S,Limejump Energy Limited,50.000,offer,0.2,0.2,5,2026-06-10,26,128.39,1; 2,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__LECOT003,AG-REC05L,ECOT_VPP_22,,S,ECOTRICITY LIMITED,10.000,bid,-5.733,5.733,14,2026-06-10,28,94.79,-1,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
2__LECOT003,AG-REC05L,ECOT_VPP_22,,S,ECOTRICITY LIMITED,10.000,offer,3.975,3.975,16,2026-06-10,31,117.63,1,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__LFLEX001,AG-LFLX01,2__LFLEX001,,S,Flexitricity Limited,49.000,bid,-26.582,26.582,30,2026-06-10,26,77.44,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__LFLEX001,AG-LFLX01,2__LFLEX001,,S,Flexitricity Limited,49.000,offer,1.082,1.082,3,2026-06-10,27,106.69,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__MCMRO002,AG-MCAM01,2__MCMRO002,,S,BGI Trading Limited,36.844,bid,-120.42,120.42,96,2026-06-10,19,103.76,-1; -2; 1,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
